title,body,date,n_paragraphs
El Estado cuestiona tres disposiciones de la nueva ley canaria de cambio climtico,El consejero de Transicin Ecolgica y Energa del Gobierno de Canarias Mariano H Zapata,31 de octubre de 2024,59
OMM ante el temporal en Espaa El cambio climtico intensificar estos fenmenos,La previsin de la dana fue acertada pero se necesita mejorar la prevencin afirma experto,30 de octubre de 2024,56
El Gobierno de Pradales inicia la fase final del plan de renovables El cambio climtico no entiende de compatibilidades con la agricultura,Un parque elico en Euskadi                                     IREKIA,31 de octubre de 2024,68
El cambio climtico corre ms que la capacidad de los humanos para adaptarnos a sus impactos sobre la salud,En la imagen de archivo una mujer se refresca debido a las altas temperaturas en una de las fuentes de Crdoba EFESalas,30 de octubre de 2024,80
El cambio climtico hace peores y ms frecuentes las tormentas destructivas como la que atraviesa Espaa,Vista general del embarcadero de la Gola de Putxol de la Albufera                                     Manuel Bruque  EFE,30 de octubre de 2024,72
Un  de catalanes augura que el cambio climtico ser el mayor problema en  aos segn el CEO,Archivo  Fachada de un edificio en Barcelona Catalunya                                     David Zorrakino  Europa Press  Archivo,30 de octubre de 2024,62
El cambio climtico amenaza procesos planetarios vitales avisa nuevo informe cientfico,El cambio climtico amenaza procesos planetarios vitales avisa nuevo informe cientfico,28 de octubre de 2024,62
Pases de la Commonwealth debatirn sobre el cambio climtico y el trauma de la esclavitud,Pases de la Commonwealth debatirn sobre el cambio climtico y el trauma de la esclavitud,24 de octubre de 2024,59
Arranca la IV Campaa sobre Cambio Climtico en Canarias con un taller prctico en El Paso,"Arranca la IV Campaa sobre Cambio Climtico en Canarias con un taller prctico en El Paso
                            



        La Consejera de Transicin Ecolgica y Energa del Gobierno de Canarias liderada por Mariano H Zapata ha presentado este jueves la IV Campaa Itinerante sobre los efectos del Cambio Climtico en Canarias en el municipio de El Paso informa en nota de prensa 
    


        Coincidiendo con la celebracin del Da Internacional contra el Cambio Climtico arranca la gira que har por todo el archipilago esta exposicin destinada a explicar las causas de este fenmeno cmo afecta concretamente a las Islas Canarias y qu medidas se pueden llevar a cabo para mitigarlo 
    
 

        Adems las Oficinas Verdes de Canarias han organizado una formacin para acercar la lucha contra el cambio climtico a la ciudadana de La Palma a travs de un taller impartido por Sepropyme sobre compostaje domstico y la importancia de la gestin de restos orgnicos como medida para reducir los gases de efecto invernadero 
    


        Durante la inauguracin Zapata destac que en el ltimo ao se ha redoblado la lucha contra el cambio climtico desde todos los puntos de vista primero con esta exposicin que en su ltima edicin alcanz cifras rcords de visitantes pero tambin acciones para la ciudadana como este taller que hoy se celebra en El Paso y que irn cada vez ms en aumento de la mano de las Oficinas Verdes de Canarias 
    


        Y subray que el gran hito ha sido la modificacin parlamentaria de la Ley de Cambio Climtico que nos est permitiendo ser ms giles y poder dar respuestas a cuestiones que no podan esperar ms
    

        El consejero valor muy positivamente el inters de los ayuntamientos de todas las islas por albergar en sus instalaciones esta campaa y contribuir a la concienciacin sobre la crisis climtica y aprovech la ocasin para agradecer al alcalde de El Paso Eloy Martn las facilidades y la implicacin de la institucin con esta exposicin 
    

        Precisamente Eloy Martn seal que la corporacin que dirige est haciendo un esfuerzo por ampliar la conciencia ambiental y lograr no solo la implicacin del propio ayuntamiento sino de todos los vecinos y vecinas y detall que la exposicin  se podr visitar desde hoy mismo y hasta el prximo  de octubre en La Casa de la Cultura Braulio Martn 
    


        Tras el municipio de El Paso la exposicin se ir trasladando semanalmente a los municipios de Brea Baja Los Llanos de Aridane Tijarafe Puntagorda Santa Cruz de La Palmas y Tazacorte para a continuacin seguir con el calendario previsto en el resto de las islas del archipilago hasta finalizar en el verano de  
    

Rcord de visitantes 
    

        La campaa itinerante inicia su cuarta edicin despus de que el pasado mes de julio se cerrara la tercera con  visitantes y  municipios recorridos casi el doble de la edicin anterior 
    


        La muestra itinerante est compuesta de dos juegos de carteles uno por provincia conformadas por  paneles cada una donde se explican las causas generales del cambio climtico en el planeta los efectos ms evidentes y tambin los indirectos sobre los ecosistemas del Archipilago  
    

        La exposicin permanecer una semana en cada municipio y cuenta con dinamizadores ambientales encargados de interpretar y adaptar la visita a la exposicin segn el perfil y necesidades de las personas que acudan adems de desarrollar charlas y visitas guiadas en horario de maana y tarde segn las necesidades de cada municipio u organizacin 
    
el artculo contina despus del siguiente mensajeLa prensa libre ms necesaria que nunca en CanariasSin prensa independiente no podrn resistir los derechos y libertades democrticas y por eso Canarias Ahora se ha convertido en un medio muy incmodo que algunos querran acallarSomos uno de los pocos peridicos de referencia que sigue siendo libre en las Islas y no se vende a los caciques ni participa de las redes clientelaresT que nos lees habitualmente lo sabes bien Te imaginas cmo sera el periodismo en Canarias si Canarias Ahora no existiera Cmo sera el debate pblico sin nuestra voz Te imaginas qu Archipilago nos quedara Te llevar menos de un minuto y puedes hacerlo desde aqu con cuotas que van desde   al mes

        La campaa est siendo desarrollada por las Oficinas Verdes de Canarias y cuenta con el respaldo de la Federacin Canaria de Municipios Fecam 
    


        Los ayuntamientos cabildos entidades u organizaciones de cualquier tipo que quieran acoger la campaa nicamente deben ponerse en contacto con las Oficinas Verdes de Canarias a travs del correo electrnico oficinasverdesoficinasverdeses",24 de octubre de 2024,70
Hidraqua impulsa las infraestructuras verdes la reutilizacin y la concienciacin contra el avance del cambio climtico,Proyecto Guardian,24 de octubre de 2024,74
Por qu las televisiones declaran al ganador en las elecciones de EEUU,Por qu las televisiones declaran al ganador en las elecciones de EEUU,2 de noviembre de 2024,75
Trump a tres das de las elecciones Harris habla sobre unidad y luego me llama Hitler,Trump a tres das de las elecciones Harris habla sobre unidad y luego me llama Hitler,2 de noviembre de 2024,62
Trump y Harris hacen campaa en el Medio Oeste de EEUU a  das de las elecciones,Trump y Harris hacen campaa en el Medio Oeste de EEUU a  das de las elecciones,2 de noviembre de 2024,67
Ni Trump ni Harris ni las elecciones EEUU est pendiente de bisbol y ftbol americano,Ni Trump ni Harris ni las elecciones EEUU est pendiente de bisbol y ftbol americano,1 de noviembre de 2024,57
Cuba mira de reojo las elecciones de EEUU ante la posible vuelta a la lnea dura de Trump,Cuba mira de reojo las elecciones de EEUU ante la posible vuelta a la lnea dura de Trump,1 de noviembre de 2024,73
El partido gobernante de Botsuana pierde las elecciones tras casi seis dcadas en el poder,El partido gobernante de Botsuana pierde las elecciones tras casi seis dcadas en el poder,1 de noviembre de 2024,61
La libertad de prensa tambin se juega en las elecciones del martes en EEUU,La libertad de prensa tambin se juega en las elecciones del martes en EEUU,31 de octubre de 2024,65
